City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-02-08 22:16:43,-46.1927,168.8643,59.49,83,100,3.02
1,Taywarah,AF,2022-02-08 22:16:44,33.35,64.4167,6.8,77,1,4.74
2,East London,ZA,2022-02-08 22:16:44,-33.0153,27.9116,74.28,87,4,5.28
3,Vaini,TO,2022-02-08 22:16:45,-21.2,-175.2,84.36,89,40,13.8
4,Yellowknife,CA,2022-02-08 22:13:41,62.456,-114.3525,-10.71,87,99,3.33
5,Punta Arenas,CL,2022-02-08 22:16:45,-53.15,-70.9167,57.31,41,75,13.8
6,Miracema,BR,2022-02-08 22:16:46,-21.4122,-42.1967,72.99,97,100,1.21
7,Sambava,MG,2022-02-08 22:16:46,-14.2667,50.1667,74.98,91,60,3.27
8,Teberda,RU,2022-02-08 22:16:46,43.4456,41.7448,32.25,88,100,10.36
9,Hermanus,ZA,2022-02-08 22:16:47,-34.4187,19.2345,64.9,89,74,7.14
10,Busselton,AU,2022-02-08 22:16:47,-33.65,115.3333,52.05,85,2,6.33
11,Superior,US,2022-02-08 22:16:48,46.7208,-92.1041,37.71,59,0,9.22
12,Port Alfred,ZA,2022-02-08 22:16:48,-33.5906,26.891,71.94,85,7,9.93
13,Pevek,RU,2022-02-08 22:12:32,69.7008,170.3133,-32.37,100,46,4.7
14,Ushuaia,AR,2022-02-08 22:16:48,-54.8,-68.3,53.26,54,40,16.11
15,Rikitea,PF,2022-02-08 22:16:49,-23.1203,-134.9692,78.91,71,77,12.03
16,Dicabisagan,PH,2022-02-08 22:16:49,17.0818,122.4157,73.69,86,72,2.21
17,Kodiak,US,2022-02-08 22:16:50,57.79,-152.4072,26.11,59,0,13.8
18,Klaksvik,FO,2022-02-08 22:16:50,62.2266,-6.589,34.72,65,99,41.11
19,Airai,TL,2022-02-08 22:16:50,-8.9266,125.4092,61.16,94,100,0.54
20,Saldanha,ZA,2022-02-08 22:16:51,-33.0117,17.9442,63.45,92,64,7.43
21,Jamestown,US,2022-02-08 22:12:17,42.097,-79.2353,27.09,54,100,10.0
22,Zhangye,CN,2022-02-08 22:16:51,38.9342,100.4517,15.15,61,0,4.65
23,Kibondo,TZ,2022-02-08 22:16:51,-3.5864,30.7203,62.1,91,90,2.46
24,Stony Plain,CA,2022-02-08 22:16:52,53.5334,-114.0021,44.11,56,0,11.5
25,Kruisfontein,ZA,2022-02-08 22:16:31,-34.0033,24.7314,68.0,54,47,6.82
26,Chimore,BO,2022-02-08 22:16:52,-16.9833,-65.1333,77.61,73,92,3.33
27,Solone,UA,2022-02-08 22:16:53,48.2081,34.8721,32.05,95,100,15.5
28,Isangel,VU,2022-02-08 22:16:53,-19.55,169.2667,82.51,94,75,4.61
29,Alvaraes,BR,2022-02-08 22:16:53,-3.2208,-64.8042,75.07,91,94,3.06
30,Qaanaaq,GL,2022-02-08 22:16:54,77.484,-69.3632,-13.72,92,100,5.44
31,Puerto Ayora,EC,2022-02-08 22:16:54,-0.7393,-90.3518,78.76,74,55,9.8
32,Pedasi,PA,2022-02-08 22:16:54,7.5333,-80.0333,81.66,68,25,8.03
33,Albany,US,2022-02-08 22:12:53,42.6001,-73.9662,35.55,67,48,1.01
34,Nikolskoye,RU,2022-02-08 22:16:55,59.7035,30.7861,28.8,96,100,4.81
35,Port Lincoln,AU,2022-02-08 22:16:55,-34.7333,135.8667,65.59,75,100,9.66
36,Cidreira,BR,2022-02-08 22:16:14,-30.1811,-50.2056,72.68,69,46,12.93
37,Lagoa,PT,2022-02-08 22:16:56,39.05,-27.9833,59.72,74,86,13.2
38,Opuwo,NA,2022-02-08 22:16:56,-18.0607,13.84,69.35,59,48,8.57
39,Lata,PT,2022-02-08 22:16:57,40.1629,-8.3327,51.71,65,0,4.61
40,Pokhara,NP,2022-02-08 22:16:57,28.2333,83.9833,52.05,72,89,2.35
41,Nantucket,US,2022-02-08 22:15:58,41.2835,-70.0995,41.34,90,100,16.11
42,Port Hardy,CA,2022-02-08 22:16:58,50.6996,-127.4199,46.76,93,100,14.97
43,Campbell River,CA,2022-02-08 22:15:52,50.0163,-125.2446,44.13,100,100,5.75
44,Cape Town,ZA,2022-02-08 22:14:10,-33.9258,18.4232,67.08,75,75,1.01
45,Broome,US,2022-02-08 22:16:58,42.2506,-75.833,33.01,76,100,4.61
46,Alofi,NU,2022-02-08 22:12:21,-19.0595,-169.9187,75.09,94,100,3.44
47,Mayo,US,2022-02-08 22:16:59,38.8876,-76.5119,46.51,43,0,8.05
48,New Norfolk,AU,2022-02-08 22:16:59,-42.7826,147.0587,65.91,67,58,2.68
49,Kapaa,US,2022-02-08 22:17:00,22.0752,-159.319,79.2,65,40,10.36
50,Georgetown,MY,2022-02-08 22:15:02,5.4112,100.3354,78.89,91,20,2.3
51,Pemba,MZ,2022-02-08 22:17:00,-12.974,40.5178,77.47,83,100,9.1
52,Lompoc,US,2022-02-08 22:17:02,34.6391,-120.4579,79.79,37,0,13.8
53,Bluff,NZ,2022-02-08 22:17:02,-46.6,168.3333,59.81,85,94,10.2
54,Karaton,ID,2022-02-08 22:17:02,-6.3424,106.1045,75.36,93,100,1.3
55,Butaritari,KI,2022-02-08 22:17:03,3.0707,172.7902,81.84,77,72,13.91
56,Ende,ID,2022-02-08 22:17:03,-8.8432,121.6623,77.81,87,97,1.61
57,Turukhansk,RU,2022-02-08 22:17:04,65.8167,87.9833,-17.99,93,100,5.03
58,Norman Wells,CA,2022-02-08 22:17:04,65.282,-126.8329,-27.36,62,75,3.44
59,Hobart,AU,2022-02-08 22:17:05,-42.8794,147.3294,66.25,73,20,9.22
60,Carutapera,BR,2022-02-08 22:17:05,-1.195,-46.02,76.51,92,86,5.03
61,Maldonado,UY,2022-02-08 22:17:05,-34.6667,-54.9167,69.22,73,40,7.49
62,Jiaonan,CN,2022-02-08 22:17:06,35.8786,119.9753,24.82,60,92,4.92
63,Los Llanos De Aridane,ES,2022-02-08 22:17:06,28.6585,-17.9182,65.12,53,0,8.05
64,Faanui,PF,2022-02-08 22:13:39,-16.4833,-151.75,81.75,78,17,19.73
65,Dukat,RU,2022-02-08 22:17:07,62.55,155.55,-21.26,66,88,2.48
66,Antofagasta,CL,2022-02-08 22:17:07,-23.65,-70.4,69.08,72,7,7.49
67,Saint-Philippe,RE,2022-02-08 22:16:26,-21.3585,55.7679,76.55,86,78,8.41
68,Pangody,RU,2022-02-08 22:17:08,65.85,74.4859,-4.18,85,88,14.97
69,Chifeng,CN,2022-02-08 22:17:08,42.2683,118.9636,18.5,45,92,5.77
70,San Patricio,US,2022-02-08 22:17:08,28.017,-97.5169,70.48,27,0,1.5
71,Gallup,US,2022-02-08 22:17:09,35.5281,-108.7426,57.96,18,0,6.91
72,Porto Santo,PT,2022-02-08 22:12:53,33.072,-16.3415,66.11,77,20,11.5
73,Atuona,PF,2022-02-08 22:12:32,-9.8,-139.0333,78.62,77,20,15.97
74,Khatanga,RU,2022-02-08 22:17:09,71.9667,102.5,4.42,83,100,16.71
75,Nabinagar,BD,2022-02-08 22:17:10,23.8917,90.9733,62.67,64,3,4.59
76,Moron,AR,2022-02-08 22:17:10,-34.6534,-58.6198,76.93,54,0,8.1
77,Babushkin,RU,2022-02-08 22:17:11,51.7122,105.8647,9.09,97,95,5.46
78,Castro,BR,2022-02-08 22:12:26,-24.7911,-50.0119,66.72,84,71,5.26
79,Hobyo,SO,2022-02-08 22:17:11,5.3505,48.5268,76.12,72,24,20.54
80,Omsukchan,RU,2022-02-08 22:17:12,62.5333,155.8,-23.19,71,86,2.8
81,Vardo,NO,2022-02-08 22:17:12,70.3705,31.1107,28.38,80,75,23.02
82,Vanimo,PG,2022-02-08 22:17:12,-2.6741,141.3028,78.62,88,80,3.2
83,Mar Del Plata,AR,2022-02-08 22:13:52,-38.0023,-57.5575,68.02,82,0,15.01
84,Fortuna,US,2022-02-08 22:16:25,40.5982,-124.1573,72.43,72,0,11.5
85,Bilma,NE,2022-02-08 22:17:13,18.6853,12.9164,65.93,10,0,6.96
86,Ilulissat,GL,2022-02-08 22:17:13,69.2167,-51.1,-7.58,64,38,26.46
87,Cherskiy,RU,2022-02-08 22:16:13,68.75,161.3,-42.63,100,84,4.38
88,Cam Ranh,VN,2022-02-08 22:17:14,11.9214,109.1591,75.16,83,20,4.61
89,Mandan,US,2022-02-08 22:17:14,46.8267,-100.8896,42.03,70,20,28.77
90,Mount Gambier,AU,2022-02-08 22:17:15,-37.8333,140.7667,65.75,72,14,6.55
91,Lebu,CL,2022-02-08 22:17:15,-37.6167,-73.65,62.8,81,20,18.45
92,Sulecin,PL,2022-02-08 22:17:15,52.4443,15.1168,48.07,91,100,11.65
93,Khromtau,KZ,2022-02-08 22:17:16,50.2503,58.4347,12.42,95,100,7.36
94,Ponta Delgada,PT,2022-02-08 22:17:16,37.7333,-25.6667,57.51,76,20,8.05
95,Mahebourg,MU,2022-02-08 22:17:17,-20.4081,57.7,75.49,88,75,4.61
96,Barcelos,PT,2022-02-08 22:17:17,41.5388,-8.6151,55.85,64,0,4.47
97,Alice Springs,AU,2022-02-08 22:17:18,-23.7,133.8833,74.75,83,82,0.0
98,Salalah,OM,2022-02-08 22:17:18,17.0151,54.0924,71.69,18,0,13.8
99,Oussouye,SN,2022-02-08 22:17:19,12.485,-16.5469,73.94,56,1,6.11
100,Kavieng,PG,2022-02-08 22:17:19,-2.5744,150.7967,82.33,78,100,8.59
101,Victoria,HK,2022-02-08 22:16:02,22.2855,114.1577,61.32,83,100,10.0
102,Bredasdorp,ZA,2022-02-08 22:17:20,-34.5322,20.0403,63.72,82,36,6.91
103,Mount Isa,AU,2022-02-08 22:17:20,-20.7333,139.5,78.57,73,3,0.0
104,Novikovo,RU,2022-02-08 22:17:20,51.1537,37.8879,31.42,98,100,8.7
105,Upernavik,GL,2022-02-08 22:17:21,72.7868,-56.1549,-16.94,93,100,5.97
106,Bambous Virieux,MU,2022-02-08 22:17:21,-20.3428,57.7575,75.45,88,75,4.61
107,Tiksi,RU,2022-02-08 22:12:22,71.6872,128.8694,-19.61,99,74,8.99
108,Plouzane,FR,2022-02-08 22:17:22,48.3833,-4.6167,46.72,93,100,6.91
109,Catabola,AO,2022-02-08 22:17:22,-12.15,17.2833,61.09,96,100,3.85
110,Esperance,AU,2022-02-08 22:17:22,-33.8667,121.9,61.32,68,31,5.19
111,Hilo,US,2022-02-08 22:17:23,19.7297,-155.09,78.24,72,100,8.01
112,Lavrentiya,RU,2022-02-08 22:17:24,65.5833,-171.0,-23.91,94,51,12.77
113,Hasaki,JP,2022-02-08 22:17:24,35.7333,140.8333,32.4,64,96,15.05
114,Teeli,RU,2022-02-08 22:17:24,51.0333,90.2333,-2.99,81,99,2.06
115,Kandete,TZ,2022-02-08 22:17:25,-9.15,33.8,60.69,93,100,2.59
116,Coxim,BR,2022-02-08 22:17:25,-18.5067,-54.76,80.08,70,20,2.13
117,Thompson,CA,2022-02-08 22:16:48,55.7435,-97.8558,17.76,79,100,13.8
118,Itarema,BR,2022-02-08 22:17:26,-2.9248,-39.9167,80.47,77,8,14.14
119,Solnechnyy,RU,2022-02-08 22:17:26,50.7214,136.6319,-5.19,97,91,3.29
120,Hamilton,US,2022-02-08 22:17:26,39.1834,-84.5333,47.57,56,0,10.36
121,Saskylakh,RU,2022-02-08 22:17:27,71.9167,114.0833,2.61,84,100,14.83
